xenogears
grandia
chrono cross
final fantasy chronicles
final fantasy anthology
final fantasy vii
final fantasy viii
final fantasy ix
star ocean the second story
the legend of dragoon
street fighter alpha 3
castlevania symphony of the night
breath of fire iv
vargrant story
